2.340000e+04	7.996667e+04	1.361258e+09	6.263333e+04
2.580000e+04	7.543333e+04	1.386769e+09	6.246667e+04
2.636667e+04	7.506667e+04	1.439585e+09	5.840000e+04
2.700000e+04	7.123333e+04	1.419842e+09	5.580000e+04
3.420000e+04	7.350000e+04	1.380627e+09	5.500000e+04
4.126667e+04	7.720000e+04	1.459649e+09	5.600000e+04
5.536667e+04	7.923333e+04	1.789780e+09	6.146667e+04
7.226667e+04	7.386667e+04	1.955617e+09	5.703333e+04
1.282000e+05	8.910000e+04	2.894709e+09	6.463333e+04
1.773000e+05	9.343333e+04	3.941870e+09	6.640000e+04
2.864333e+05	8.553333e+04	4.158110e+09	7.270000e+04
4.616667e+05	8.826667e+04	4.109031e+09	6.383333e+04
7.094000e+05	1.305333e+05	4.169175e+09	7.493333e+04
1.184767e+06	1.275333e+05	3.955417e+09	7.803333e+04
1.886733e+06	1.318000e+05	3.916256e+09	7.723333e+04
2.715733e+06	1.483333e+05	3.906009e+09	8.193333e+04
4.435167e+06	2.309333e+05	3.987815e+09	1.635333e+05
7.727600e+06	4.592333e+05	4.047148e+09	1.694000e+05
1.229177e+07	7.589000e+05	4.125354e+09	3.004667e+05
2.102563e+07	1.776000e+06	4.172948e+09	4.703333e+05
3.543953e+07	2.487067e+06	4.455817e+09	9.338333e+05
5.889163e+07	5.433733e+06	4.872834e+09	1.507100e+06
9.734277e+07	9.759767e+06	5.777838e+09	2.741733e+06
1.818143e+08	1.513417e+07	7.097225e+09	5.551000e+06
2.795725e+08	2.479963e+07	9.631613e+09	7.669700e+06
4.738914e+08	4.757490e+07	1.345420e+10	1.426843e+07
8.396870e+08	7.670887e+07	2.050716e+10	2.311837e+07
1.465091e+09	1.260641e+08	3.725690e+10	3.759387e+07
2.598754e+09	2.436458e+08	5.598437e+10	6.600583e+07
4.358318e+09	3.638457e+08	9.305577e+10	1.031989e+08
